Polymer,SMILES descriptor 1,SMILES descriptor 2,Comonomer percentage,Anion,Amion SMILES,log Li:functional group,approxMW(kDa),approxTg,chain_architecture,logCond60,Temperature (℃)
poly(ethylenimine),CN(C)C,CN(C)C,100,CF3SO3,C(F)(F)(F)S(=O)(=O)[O-],-1.255272505,50,-30,branched,-4.55151118,60
poly(ethylenimine),CN(C)C,CN(C)C,100,CF3SO3,C(F)(F)(F)S(=O)(=O)[O-],-1.146128036,50,-24,branched,-5.082716375,60
poly(ethylenimine),CN(C)C,CN(C)C,100,CF3SO3,C(F)(F)(F)S(=O)(=O)[O-],-0.903089987,50,-5,branched,-6.028903531,60
poly(ethylenimine),CN(C)C,CN(C)C,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-2.602059991,10,-61.5,branched,-4.971466005,60
poly(ethylenimine),CN(C)C,CN(C)C,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-2.301029996,10,-61,branched,-4.885211587,60
poly(ethylenimine),CN(C)C,CN(C)C,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-2,10,-63,branched,-4.513827281,60
poly(ethylenimine),CN(C)C,CN(C)C,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.698970004,10,-61,branched,-4.378016645,60
poly(ethylenimine),CN(C)C,CN(C)C,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.301029996,10,-52,branched,-4.3904622,60
poly(ethylenimine),CN(C)C,CN(C)C,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1,10,-45,branched,-5.060487918,60
"poly(1,4-bis(bromomethyl)-2,3,5,6-teramethylbenzene-co-benzyl bis(hydroxymethyl)phosphine sulfide)",*Cc2c(C)c(C)c(COCP(=S)(CO*)Cc1ccccc1)c(C)c2C,*Cc2c(C)c(C)c(COCP(=S)(CO*)Cc1ccccc1)c(C)c2C,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.838849091,9.6,156,linear,-5.430717876,60
"poly(1,4-bis(bromomethyl)-2,3,5,6-teramethylbenzene-co-benzyl bis(hydroxymethyl)phosphine sulfide)",*Cc2c(C)c(C)c(COCP(=S)(CO*)Cc1ccccc1)c(C)c2C,*Cc2c(C)c(C)c(COCP(=S)(CO*)Cc1ccccc1)c(C)c2C,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.491361694,9.6,167,linear,-5.455759599,60
"poly(1,4-bis(bromomethyl)-2,3,5,6-teramethylbenzene-co-benzyl bis(hydroxymethyl)phosphine sulfide)",*Cc2c(C)c(C)c(COCP(=S)(CO*)Cc1ccccc1)c(C)c2C,*Cc2c(C)c(C)c(COCP(=S)(CO*)Cc1ccccc1)c(C)c2C,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.255272505,9.6,171,linear,-4.838063439,60
"poly(1,4-bis(bromomethyl)-2,3,5,6-teramethylbenzene-co-benzyl bis(hydroxymethyl)phosphine sulfide)",*Cc2c(C)c(C)c(COCP(=S)(CO*)Cc1ccccc1)c(C)c2C,*Cc2c(C)c(C)c(COCP(=S)(CO*)Cc1ccccc1)c(C)c2C,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.079181246,9.6,193,linear,-2.475792988,60
"poly(1,4-bis(bromomethyl)-2,3,5,6-teramethylbenzene-co-benzyl bis(hydroxymethyl)phosphine sulfide)",*Cc2c(C)c(C)c(COCP(=S)(CO*)Cc1ccccc1)c(C)c2C,*Cc2c(C)c(C)c(COCP(=S)(CO*)Cc1ccccc1)c(C)c2C,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.838849091,2.1,150,linear,-7.033898305,60
"poly(1,4-bis(bromomethyl)-2,3,5,6-teramethylbenzene-co-benzyl bis(hydroxymethyl)phosphine sulfide)",*Cc2c(C)c(C)c(COCP(=S)(CO*)Cc1ccccc1)c(C)c2C,*Cc2c(C)c(C)c(COCP(=S)(CO*)Cc1ccccc1)c(C)c2C,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.491361694,2.1,155,linear,-5.55932,60
"poly(1,4-bis(bromomethyl)-2,3,5,6-teramethylbenzene-co-benzyl bis(hydroxymethyl)phosphine sulfide)",*Cc2c(C)c(C)c(COCP(=S)(CO*)Cc1ccccc1)c(C)c2C,*Cc2c(C)c(C)c(COCP(=S)(CO*)Cc1ccccc1)c(C)c2C,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.255272505,2.1,207,linear,-4.9661,60
"poly(1,4-bis(bromomethyl)-2,3,5,6-teramethylbenzene-co-benzyl bis(hydroxymethyl)phosphine sulfide)",*Cc2c(C)c(C)c(COCP(=S)(CO*)Cc1ccccc1)c(C)c2C,*Cc2c(C)c(C)c(COCP(=S)(CO*)Cc1ccccc1)c(C)c2C,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.079181246,2.1,210,linear,-4.20339,60
"poly[2,6-dimethoxy-N-(4-vinylphenyl)benzamide]",C(C1=CC=C(NC(=O)CC2=C(OC)C=CC=C2(OC))C=C1)C,C(C1=CC=C(NC(=O)CC2=C(OC)C=CC=C2(OC))C=C1)C,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.176091259,390,164,branched,-4.26760624,60
poly(ethylene oxide-co-allyl glycidyl ether amide imidazole,C(COCCCSCCCC(=O)NCCN1C=NC=C1)OC,CCO,17,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-2.029449934,41204.28,-32,branched,-5.15563935,60
poly(ethylene oxide-co-allyl glycidyl ether amide imidazole,C(COCCCSCCCC(=O)NCCN1C=NC=C1)OC,CCO,17,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-2.249558022,41204.28,-33,branched,-5.206566454,60
poly(allyl glycidyl ether amide imidazole),C(COCCCSCCCC(=O)NCCN1C=NC=C1)OC,C(COCCCSCCCC(=O)NCCN1C=NC=C1)OC,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-2.124938737,25610.25,-11,branched,-5.900290018,60
poly(allyl glycidyl ether amide imidazole),C(COCCCSCCCC(=O)NCCN1C=NC=C1)OC,C(COCCCSCCCC(=O)NCCN1C=NC=C1)OC,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.698970004,25610.25,-4,branched,-6.033489785,60
poly(allyl glycidyl ether amide imidazole),C(COCCCSCCCC(=O)NCCN1C=NC=C1)OC,C(COCCCSCCCC(=O)NCCN1C=NC=C1)OC,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.522878745,25610.25,-1,branched,-6.091671913,60
poly(butadiene amide imidazole),CC(CCSCCCC(=O)NCCN1C=NC=C1),CC(CCSCCCC(=O)NCCN1C=NC=C1),100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.823908741,56286,11,branched,-7.385200563,60
poly(butadiene amide imidazole),CC(CCSCCCC(=O)NCCN1C=NC=C1),CC(CCSCCCC(=O)NCCN1C=NC=C1),100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.397940009,56286,24,branched,-7.763101501,60
poly(butadiene amide imidazole),CC(CCSCCCC(=O)NCCN1C=NC=C1),CC(CCSCCCC(=O)NCCN1C=NC=C1),100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.22184875,56286,39,branched,-9.001342017,60
poly(vinyl methyl siloxane amide imidazole),[Si](C)(CCSCCCC(=O)NCCN1C=NC=C1)O,[Si](C)(CCSCCCC(=O)NCCN1C=NC=C1)O,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.823908741,110943.6,-6,branched,-6.446174023,60
poly(vinyl methyl siloxane amide imidazole),[Si](C)(CCSCCCC(=O)NCCN1C=NC=C1)O,[Si](C)(CCSCCCC(=O)NCCN1C=NC=C1)O,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.397940009,110943.6,-3,branched,-6.35849502,60
poly(vinyl methyl siloxane amide imidazole),[Si](C)(CCSCCCC(=O)NCCN1C=NC=C1)O,[Si](C)(CCSCCCC(=O)NCCN1C=NC=C1)O,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.22184875,110943.6,0,branched,-6.332222661,60
poly(vinyl methyl siloxane amide imidazole -co- vinyl methyl siloxane ethane),[Si](C)(CCSCCCC(=O)NCCN1C=NC=C1)O,[Si](C)(CCSCCCC(=O)NCCN1C=NC=C1)O,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.301029996,105215.04,-7,branched,-6.18219514,60
poly(vinyl methyl siloxane amide imidazole -co- vinyl methyl siloxane ethane),[Si](C)(CCSCCCC(=O)NCCN1C=NC=C1)O,O[Si](C)(CCSCC),71,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.151810883,89174.4,-4,branched,-6.076827721,60
poly(vinyl methyl siloxane amide imidazole -co- vinyl methyl siloxane ethane),[Si](C)(CCSCCCC(=O)NCCN1C=NC=C1)O,O[Si](C)(CCSCC),71,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.301029996,89174.4,-11,branched,-6.018583549,60
poly(vinyl methyl siloxane amide imidazole -co- vinyl methyl siloxane ethane),[Si](C)(CCSCCCC(=O)NCCN1C=NC=C1)O,O[Si](C)(CCSCC),49,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.991399828,76944,-11,branched,-5.780312544,60
poly(vinyl methyl siloxane amide imidazole -co- vinyl methyl siloxane ethane),[Si](C)(CCSCCCC(=O)NCCN1C=NC=C1)O,O[Si](C)(CCSCC),49,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.301029996,76944,-19,branched,-5.748539723,60
poly(vinyl methyl siloxane amide imidazole -co- vinyl methyl siloxane ethane),[Si](C)(CCSCCCC(=O)NCCN1C=NC=C1)O,O[Si](C)(CCSCC),33,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.819587367,67872,-19,branched,-5.802771871,60
poly(vinyl methyl siloxane amide imidazole -co- vinyl methyl siloxane ethane),[Si](C)(CCSCCCC(=O)NCCN1C=NC=C1)O,O[Si](C)(CCSCC),33,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.301029996,67872,-28,branched,-5.683259062,60
poly(vinyl methyl siloxane amide imidazole -co- vinyl methyl siloxane ethane),[Si](C)(CCSCCCC(=O)NCCN1C=NC=C1)O,O[Si](C)(CCSCC),29,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.763210901,65856,-20,branched,-5.860155071,60
poly(vinyl methyl siloxane amide imidazole -co- vinyl methyl siloxane ethane),[Si](C)(CCSCCCC(=O)NCCN1C=NC=C1)O,O[Si](C)(CCSCC),20,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.602059991,60816,-31,branched,-5.8161068,60
poly(vinyl methyl siloxane amide imidazole -co- vinyl methyl siloxane ethane),[Si](C)(CCSCCCC(=O)NCCN1C=NC=C1)O,O[Si](C)(CCSCC),7,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.301029996,53625.6,-80,branched,-6.153247929,60
poly(vinyl methyl siloxane amide imidazole -co- vinyl methyl siloxane ethane),[Si](C)(CCSCCCC(=O)NCCN1C=NC=C1)O,O[Si](C)(CCSCC),7,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.447331784,53625.6,-81,branched,-6.369167275,60
poly(vinyl methyl siloxane amide imidazole -co- vinyl methyl siloxane ethane),[Si](C)(CCSCCCC(=O)NCCN1C=NC=C1)O,O[Si](C)(CCSCC),7,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.145997767,53625.6,-65,branched,-6.272678861,60
poly(vinyl methyl siloxane amide imidazole -co- vinyl methyl siloxane phenyl),[Si](C)(CCSCCCC(=O)NCCN1C=NC=C1)O,[Si](C)(CCSCCCCCCCC1=CC=CC=C1)O,72,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.158015195,67760,-13,branched,-5.971409957,60
poly(vinyl methyl siloxane amide imidazole -co- vinyl methyl siloxane phenyl),[Si](C)(CCSCCCC(=O)NCCN1C=NC=C1)O,[Si](C)(CCSCCCCCCCC1=CC=CC=C1)O,40,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.903089987,66440,-36,branched,-6.094302457,60
poly(vinyl methyl siloxane amide imidazole -co- vinyl methyl siloxane phenyl),[Si](C)(CCSCCCC(=O)NCCN1C=NC=C1)O,[Si](C)(CCSCCCCCCCC1=CC=CC=C1)O,14,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.447331784,65340,-62,branched,-6.697991434,60
poly(vinyl methyl siloxane imidazole),[Si](C)(CCSCCCCCCCN1C=NC=C1)O,[Si](C)(CCSCCCCCCCN1C=NC=C1)O,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.522878745,65340,-22,branched,-5.185554223,60
poly(vinyl methyl siloxane imidazole),[Si](C)(CCSCCCCCCCN1C=NC=C1)O,[Si](C)(CCSCCCCCCCN1C=NC=C1)O,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.522878745,65340,7,branched,-5.791297391,60
PEO,CCO,CCO,100,PF6,F[P-](F)(F)(F)(F)F,-2,4000,-54,linear,-6.4715,60
PEO,CCO,CCO,100,PF6,F[P-](F)(F)(F)(F)F,-1.698970004,4000,-50,linear,-6.4976,60
PEO,CCO,CCO,100,PF6,F[P-](F)(F)(F)(F)F,-1.602059991,4000,-51,linear,-6.5604,60
PEO,CCO,CCO,100,PF6,F[P-](F)(F)(F)(F)F,-1.48148606,4000,-49,linear,-4.2961,60
PEO,CCO,CCO,100,PF6,F[P-](F)(F)(F)(F)F,-1.301029996,4000,-45,linear,-6.1124,60
PEO,CCO,CCO,100,PF6,F[P-](F)(F)(F)(F)F,-1.204119983,4000,-44,linear,-6.6565,60
PEO,CCO,CCO,100,PF6,F[P-](F)(F)(F)(F)F,-1.080921908,4000,-43,linear,-6.3816,60
PEO,CCO,CCO,100,FSI,[N-](S(=O)(=O)F)S(=O)(=O)F,-1.301029996,500,-45,linear,-3.97027712,60
PEO,CCO,CCO,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.301029996,500,-36,linear,-3.558843312,60
PEO,CCO,CCO,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-2.698970004,4,-66,linear,-4.49757288,60
PEO,CCO,CCO,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-2.283301229,4,-65,linear,-3.935542011,60
PEO,CCO,CCO,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-2.10720997,4,-64,linear,-3.772113295,60
PEO,CCO,CCO,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.982271233,4,-63.5,linear,-3.694648631,60
PEO,CCO,CCO,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.806179974,4,-62,linear,-3.552841969,60
PEO,CCO,CCO,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.681241237,4,-61,linear,-3.403402904,60
PEO,CCO,CCO,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.505149978,4,-58,linear,-3.26760624,60
PEO,CCO,CCO,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.380211242,4,-56,linear,-3.229147988,60
PEO,CCO,CCO,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.204119983,4,-50,linear,-3.214670165,60
PEO,CCO,CCO,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.041392685,4,-43,linear,-3.283996656,60
PEO,CCO,CCO,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.903089987,4,-36,linear,-3.386158178,60
PEO,CCO,CCO,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.77815125,4,-29,linear,-3.48945499,60
PEO,CCO,CCO,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.698970004,4,-25,linear,-4.036212173,60
PEO,CCO,CCO,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.602059991,4,-19,linear,-4.283996656,60
PEO,CCO,CCO,100,MPSA,COCCC[N-]S(=O)(=O)C(F)(F)F,-1.806179974,4,-62,linear,-4.510041521,60
PEO,CCO,CCO,100,MPSA,COCCC[N-]S(=O)(=O)C(F)(F)F,-1.477121255,4,-60,linear,-4.214670165,60
PEO,CCO,CCO,100,MPSA,COCCC[N-]S(=O)(=O)C(F)(F)F,-1.322219295,4,-58,linear,-4.124938737,60
PEO,CCO,CCO,100,MPSA,COCCC[N-]S(=O)(=O)C(F)(F)F,-1.204119983,4,-56.5,linear,-4.065501549,60
PEO,CCO,CCO,100,MPSA,COCCC[N-]S(=O)(=O)C(F)(F)F,-1.079181246,4,-53.5,linear,-4.102372909,60
PEO,CCO,CCO,100,MPSA,COCCC[N-]S(=O)(=O)C(F)(F)F,-1,4,-53,linear,-4.167491087,60
PEO,CCO,CCO,100,CF3SO3,C(F)(F)(F)S(=O)(=O)[O-],-1.079181246,13.20754717,-42,linear,-4.3947,60
PEO,CCO,CCO,100,CF3SO3,C(F)(F)(F)S(=O)(=O)[O-],-0.903089987,13.20754717,-42,linear,-4.4551,60
PEO,CCO,CCO,100,CF3SO3,C(F)(F)(F)S(=O)(=O)[O-],-1.079181246,20.95238095,-49,linear,-4.3444,60
poly(ethylene oxide),CCO,CCO,100,ClO4,[O-]Cl(=O)(=O)=O,-0.958607315,22,-24,linear,-4.768784859,60
poly(ethyleneoxide-co-propyleneoxide),CCO,C(C)OC,76.5,ClO4,[O-]Cl(=O)(=O)=O,-0.958607315,10,-23,linear,-5.13199965,60
poly(ethyleneoxide-co-propyleneoxide),CCO,C(C)OC,47,ClO4,[O-]Cl(=O)(=O)=O,-0.958607315,5,-7,linear,-5.721042882,60
poly[ethylene oxide-co-2-(2-methoxyethoxy)ethyl glycidyl ether],CCO,C(COCCOCCOC)OC,95,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.698970004,4000,-51.85,branched,-4.017859268,60
poly[ethylene oxide-co-2-(2-methoxyethoxy)ethyl glycidyl ether],CCO,C(COCCOCCOC)OC,95,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.397940009,4000,-47.15,branched,-3.835551263,60
poly[ethylene oxide-co-2-(2-methoxyethoxy)ethyl glycidyl ether],CCO,C(COCCOCCOC)OC,95,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.22184875,4000,-44.15,branched,-3.611496413,60
poly[ethylene oxide-co-2-(2-methoxyethoxy)ethyl glycidyl ether],CCO,C(COCCOCCOC)OC,95,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.096910013,4000,-43.15,branched,-3.617969947,60
poly[ethylene oxide-co-2-(2-methoxyethoxy)ethyl glycidyl ether],CCO,C(COCCOCCOC)OC,91,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.698970004,277.7777778,-55.45,branched,-3.460792874,60
poly[ethylene oxide-co-2-(2-methoxyethoxy)ethyl glycidyl ether],CCO,C(COCCOCCOC)OC,91,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.397940009,277.7777778,-52.75,branched,-3.408930907,60
poly[ethylene oxide-co-2-(2-methoxyethoxy)ethyl glycidyl ether],CCO,C(COCCOCCOC)OC,91,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.22184875,277.7777778,-45.65,branched,-3.27768157,60
poly[ethylene oxide-co-2-(2-methoxyethoxy)ethyl glycidyl ether],CCO,C(COCCOCCOC)OC,91,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.096910013,277.7777778,-39.65,branched,-3.21161654,60
poly[ethylene oxide-co-2-(2-methoxyethoxy)ethyl glycidyl ether],CCO,C(COCCOCCOC)OC,91,ClO4,[O-]Cl(=O)(=O)=O,-1.698970004,277.7777778,-51.45,branched,-3.610818838,60
poly[ethylene oxide-co-2-(2-methoxyethoxy)ethyl glycidyl ether],CCO,C(COCCOCCOC)OC,91,ClO4,[O-]Cl(=O)(=O)=O,-1.397940009,277.7777778,-46.15,branched,-3.346435504,60
poly[ethylene oxide-co-2-(2-methoxyethoxy)ethyl glycidyl ether],CCO,C(COCCOCCOC)OC,91,ClO4,[O-]Cl(=O)(=O)=O,-1.22184875,277.7777778,-37.85,branched,-3.498306692,60
poly[ethylene oxide-co-2-(2-methoxyethoxy)ethyl glycidyl ether],CCO,C(COCCOCCOC)OC,91,ClO4,[O-]Cl(=O)(=O)=O,-1.096910013,277.7777778,-23.55,branched,-3.821350999,60
poly (allyl glycidyl ether),C(COCC=C)OC,C(COCC=C)OC,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.951169913,12.17391304,-75.8,linear,-4.849959018,60
poly (allyl glycidyl ether),C(COCC=C)OC,C(COCC=C)OC,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.713992878,12.17391304,-73.99,linear,-4.455315869,60
poly (allyl glycidyl ether),C(COCC=C)OC,C(COCC=C)OC,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.507239611,12.17391304,-72,linear,-4.197144058,60
poly (allyl glycidyl ether),C(COCC=C)OC,C(COCC=C)OC,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.417028071,12.17391304,-67.5,linear,-3.899042599,60
poly (allyl glycidyl ether),C(COCC=C)OC,C(COCC=C)OC,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.19893947,12.17391304,-58.4,linear,-3.718439756,60
poly (allyl glycidyl ether),C(COCC=C)OC,C(COCC=C)OC,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.000521466,12.17391304,-49.3,linear,-3.714276869,60
poly (allyl glycidyl ether),C(COCC=C)OC,C(COCC=C)OC,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.295986875,12.17391304,-78,linear,-3.91699886,60
poly (ethylene glycol co allyl glycidyl ether),CCO,C(COCC=C)OC,89.7,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.423263358,29.5,-69,linear,-3.471924785,60
poly (ethylene glycol co allyl glycidyl ether),CCO,C(COCC=C)OC,80.2,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.425242597,15.8,-71,linear,-3.609537571,60
poly (ethylene glycol co allyl glycidyl ether),CCO,C(COCC=C)OC,76.7,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.423173341,7.9,-69,linear,-3.652058988,60
poly (ethylene glycol co allyl glycidyl ether),CCO,C(COCC=C)OC,54.9,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.395003756,17.3,-73,linear,-3.803559545,60
锘縫oly(methoxy polyethylene glycol monomethacrylate),CC(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)(C),CC(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)(C),100,CF3SO3,C(F)(F)(F)S(=O)(=O)[O-],-0.698970004,300,-25,branched,-4.890328737,60
oxymethylene-linked poly(ethylene oxide),COCCOCCOCCOCCOCCOCCOCCOCCOCOC,COCCOCCOCCOCCOCCOCCOCCOCCOCOC,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.301029996,50,-50.69,linear,-3.681736599,60
poly 锘縉-(2-methoxylethyl)glycine,C(=O)N(CCOC)C,C(=O)N(CCOC)C,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.070581074,2.3625,52.2,branched,-6.574593418,60
poly 锘縉-(2-(2-methoxyethoxy)ethyl)glycine,C(=O)N(CCOCCOC)C,C(=O)N(CCOCCOC)C,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.070581074,3.2428,9.9,branched,-4.822384778,60
锘縫oly N-(2-(2-(2-methoxyethoxy)ethoxy)ethyl)glycine,C(=O)N(CCOCCOCCOC)C,C(=O)N(CCOCCOCCOC)C,100,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.070581074,4.1277,-2.4,branched,-4.53153355,60
poly (锘縨ethoxy oligo(ethyleneoxy)ethyl-alt-vinylene carbonate),CC(OCCOCCOC),C1OC(=O)OC1,50,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-0.903089987,37,40.8,branched,-6.93162364,60
poly (锘縨ethoxy oligo(ethyleneoxy)ethyl-alt-vinylene carbonate),CC(OCCOCCOC),C1OC(=O)OC1,50,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.079181246,37,34.1,branched,-6.424478697,60
poly (锘縨ethoxy oligo(ethyleneoxy)ethyl-alt-vinylene carbonate),CC(OCCOCCOC),C1OC(=O)OC1,50,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.204119983,37,31.7,branched,-7.084322107,60
poly (锘縨ethoxy oligo(ethyleneoxy)ethyl-alt-vinylene carbonate),CC(OCCOCCOC),C1OC(=O)OC1,50,TFSI,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,-1.301029996,37,29.4,branched,-6.655352166,60
