smiles,Eea,Egb,Egc,Ei
*CC(CC)(CC)CO*,-99.0,-99.0,5.586,-99.0
*CCOCCOCCOCCOCCOc1ccc(C=C(C)c2ccc(O*)cc2)cc1,-99.0,-99.0,3.9391,-99.0
*CC(O*)C(C)C,-99.0,-99.0,5.7752,-99.0
*CC1(CO*)CC=CCC1,-99.0,-99.0,5.5732,-99.0
*CCCCCCCCCCOc1cccc(OC(=O)c2ccc(C(=O)Oc3cccc(O*)c3)cc2)c1,-99.0,-99.0,3.4495,-99.0
*CCCCCCCCCCCCCCCCCCCCOC(=O)COCC(=O)O*,-99.0,-99.0,6.3895,-99.0
*CCOCCOCCOC(=O)CCCCC(=O)O*,-99.0,-99.0,6.384,-99.0
*CCOCCOCCOC(=O)CCCCCCCC(=O)O*,-99.0,-99.0,6.3362,-99.0
*CCOCCOCCOC(=O)c1cccc(C(=O)O*)c1,-99.0,-99.0,4.9478,-99.0
*CCOCCOCCOC(=O)CC(=O)O*,-99.0,-99.0,5.6203,-99.0
*CCOCCOCCOC(=O)C(=O)O*,-99.0,-99.0,4.4209,-99.0
*CCOCCOCCOC(=O)CCC(=O)O*,-99.0,-99.0,6.2323,-99.0
*CCCNC(=O)CCCCCCCCC(=O)NCCCOCCO*,-99.0,-99.0,5.9244,-99.0
*CCOC(=O)COCC(=O)O*,-99.0,-99.0,6.1826,-99.0
*OC(C)COC(=O)COCC(*)=O,-99.0,-99.0,6.2412,-99.0
*CCOC(=O)c1ccc(O*)c(Cl)c1,-99.0,-99.0,4.81,-99.0
*CCOC(=O)c1ccc(O*)cc1Cl,-99.0,-99.0,4.6773,-99.0
*CCOC(=O)c1ccc(O*)c(C)c1,-99.0,-99.0,4.4876,-99.0
*CCOC(=O)c1ccc(O*)cc1C,-99.0,-99.0,4.5424,-99.0
*CCOCCOCCOC(=O)CCCCS(=O)(=O)CCCCC(=O)O*,-99.0,-99.0,6.1148,-99.0
*CCOCC(=O)O*,-99.0,-99.0,5.8983,-99.0
*CC(O)CO*,-99.0,-99.0,6.5192,-99.0
*CCOCCOC(=O)c1ccc(Cc2ccc(C(=O)O*)cc2)cc1,-99.0,-99.0,4.5987,-99.0
*CCOCCOC(=O)COCC(=O)O*,-99.0,-99.0,5.9381,-99.0
*CCOCCOC(=O)CCCCSCCCCC(=O)O*,-99.0,-99.0,5.2898,-99.0
*Oc1ccc(NC(=O)CCCCCCCCCCC(=O)Nc2ccc(*)cc2)cc1,-99.0,-99.0,4.4722,-99.0
*c1ccc(-c2ccc(-c3cc(-c4ccc(Oc5ccc(-c6cc(*)nc7ccccc67)cc5)cc4)c4ccccc4n3)cc2)cc1,-99.0,-99.0,3.4086,-99.0
*c1ccc(Oc2ccc(-c3nc4ccc(Oc5ccc6nc(*)c(-c7ccccc7)c(-c7ccccc7)c6c5)cc4c(-c4ccccc4)c3-c3ccccc3)cc2)cc1,-99.0,-99.0,3.2296,-99.0
*c1ccc(-c2ccc(-c3nc4ccc(Oc5ccc6nc(*)c(-c7ccccc7)c(-c7ccccc7)c6c5)cc4c(-c4ccccc4)c3-c3ccccc3)cc2)cc1,-99.0,-99.0,3.3136,-99.0
*CCOCCOCC#CC#CCOCCOCCOC(=O)NCCCCCCNC(=O)O*,-99.0,-99.0,4.9082,-99.0
*CCCOC(=O)COCC(=O)O*,-99.0,-99.0,6.0368,-99.0
*OC(C)CCOC(=O)COCC(*)=O,-99.0,-99.0,6.1998,-99.0
*OC(F)(F)COC(=O)c1cccc(C(=O)OCC(*)(F)F)c1,-99.0,-99.0,4.7299,-99.0
*Oc1cccc(C(=O)OCC(F)(F)C(F)(F)C(F)(F)COC(=O)c2cccc(*)c2)c1,-99.0,-99.0,4.5011,-99.0
*Oc1ccc(Oc2ccc(OC(=O)c3cccc(C(*)=O)c3)cc2)cc1,-99.0,-99.0,3.4373,-99.0
*ON(C(F)(F)C(*)(F)F)C(F)(F)C(F)(F)Br,-99.0,-99.0,6.7014,-99.0
*ON(C(F)(F)F)C(F)(F)C(*)(F)F,-99.0,-99.0,7.1742,-99.0
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C4(c5ccc(*)cc5)CCCCC4)cc3)cc2)cc1,-99.0,-99.0,3.9696,-99.0
*c1ccc(-c2ccc(-c3nc4cc(Oc5ccc6nc(-c7ccccc7)c(*)nc6c5)ccc4nc3-c3ccccc3)cc2)cc1,-99.0,-99.0,3.1965,-99.0
*c1ccc(-c2nc3cc(Oc4ccc5nc(*)c(-c6ccccc6)nc5c4)ccc3nc2-c2ccccc2)cc1,-99.0,-99.0,3.1353,-99.0
*c1ccc(Oc2ccc(-c3nc4cc(-c5ccc6nc(*)c(-c7ccccc7)nc6c5)ccc4nc3-c3ccccc3)cc2)cc1,-99.0,-99.0,2.9993,-99.0
*c1ccc(-c2ccc(-c3cnc4cc(Oc5ccc6nc(*)cnc6c5)ccc4n3)cc2)cc1,-99.0,-99.0,3.0165,-99.0
*c1ccc(Oc2ccc(-c3cnc4cc(-c5ccc6nc(*)cnc6c5)ccc4n3)cc2)cc1,-99.0,-99.0,3.1085,-99.0
*c1ccc(Oc2ccc(-c3cnc4cc(Oc5ccc6nc(*)cnc6c5)ccc4n3)cc2)cc1,-99.0,-99.0,3.1068,-99.0
*c1ccc(Oc2ccc(-c3cnc4cc5ncc(*)nc5cc4n3)cc2)cc1,-99.0,-99.0,2.782,-99.0
*ON(C(F)(F)F)C(F)(Br)C(*)(F)F,-99.0,-99.0,6.3719,-99.0
*CC(CO*)C(C)(C)C,-99.0,-99.0,5.7599,-99.0
*CC(C)(CC)CO*,-99.0,-99.0,5.6322,-99.0
*CC(CO*)(COC=O)COC=O,-99.0,-99.0,6.4753,-99.0
*c1ccc2oc(*)nc2c1,-99.0,-99.0,3.9774,-99.0
*Oc1ccc(S(=O)(=O)c2ccc(-c3ccc(-c4ccc(S(=O)(=O)c5ccc(*)cc5)cc4)cc3)cc2)cc1,-99.0,-99.0,3.6921,-99.0
*Oc1ccc(C(=O)c2cccc(C(=O)c3ccc(*)cc3)c2)cc1,-99.0,-99.0,3.9576,-99.0
*Oc1ccc(Oc2ccc(C(=O)c3ccccc3-c3ccccc3C(=O)c3ccc(*)cc3)cc2)cc1,-99.0,-99.0,3.3644,-99.0
*Oc1ccc(Oc2ccc(C(=O)c3cccc(-c4cccc(C(=O)c5ccc(*)cc5)c4)c3)cc2)cc1,-99.0,-99.0,3.724,-99.0
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1C,-99.0,-99.0,3.5517,-99.0
*c1ccc(Oc2ccc(-c3nc4cc5sc(*)nc5cc4s3)cc2)cc1,-99.0,-99.0,3.2878,-99.0
*CNC(=O)OCc1ccc(COCc2ccc(COC(=O)NCc3ccc(C(C)(C)c4ccc(*)o4)o3)o2)o1,-99.0,-99.0,4.4843,-99.0
*COC(=O)NCc1ccc(CNC(=O)OCc2ccc(*)o2)o1,-99.0,-99.0,5.0674,-99.0
*CNC(=O)OC(c1ccco1)C(OC(=O)NCc1ccc(C(C)(C)c2ccc(*)o2)o1)c1ccco1,-99.0,-99.0,4.7926,-99.0
*c1ccc(Oc2ccc(C(=O)c3ccc(Oc4ccc(C(=O)c5ccc(Oc6ccc(-c7nc8ccccc8n7-c7ccc(-n8c(*)nc9ccccc98)cc7)cc6)cc5)cc4)cc3)cc2)cc1,-99.0,-99.0,3.2485,-99.0
*c1c(C)cc(Cc2cc(C)c(N3C(=O)c4ccc(Oc5cccc6c(Oc7ccc8c(c7)C(=O)N(*)C8=O)cccc56)cc4C3=O)c(C)c2)cc1C,-99.0,-99.0,3.4317,-99.0
*CCCCCCOc1ccc(C(=O)N(C(=O)c2ccc(O*)cc2)c2ccccc2)cc1,-99.0,-99.0,3.9898,-99.0
*Oc1c(C)c(C)c(Oc2ccc(NC(=O)c3ccc(C(=O)Nc4ccc(*)cc4)cc3)cc2)c(C)c1C,-99.0,-99.0,3.2842,-99.0
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C4(c5ccc(*)cc5)c5ccccc5-c5ccccc54)cc3)cc2)cc1,-99.0,-99.0,4.0393,-99.0
*CCc1ccc(*)o1,-99.0,-99.0,4.9056,-99.0
*c1cccc(-c2nc3ccc(-c4ccc5oc(*)nc5c4)cc3o2)c1,-99.0,-99.0,3.5292,-99.0
*Oc1cc(OC)c(*)cc1OC,-99.0,-99.0,4.0822,-99.0
*SC(*)(F)F,-99.0,-99.0,5.6762,-99.0
*OC(=O)CCSCCC(*)=O,-99.0,-99.0,4.6003,-99.0
*OC(=O)CSCCSCC(*)=O,-99.0,-99.0,4.3837,-99.0
*OC(=O)CCSCCSCCC(*)=O,-99.0,-99.0,4.6742,-99.0
*CC(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)CSCCSCC(=O)O*,-99.0,-99.0,5.0898,-99.0
*CCOC(=O)NCCSCCSCCNC(=O)O*,-99.0,-99.0,5.2808,-99.0
*CCCCOC(=O)NCCSCCSCCNC(=O)O*,-99.0,-99.0,5.7445,-99.0
*CCCCCOC(=O)NCCSCCSCCNC(=O)O*,-99.0,-99.0,5.3739,-99.0
*CCCCCOC(=O)NCCSCCCCSCCNC(=O)O*,-99.0,-99.0,5.2673,-99.0
*CCCCCOC(=O)NCCSCCCCCSCCNC(=O)O*,-99.0,-99.0,5.3077,-99.0
*CCCCCOC(=O)NCCSCCCCCCSCCNC(=O)O*,-99.0,-99.0,5.1243,-99.0
*CCCCCCOC(=O)NCCSCCCCSCCNC(=O)O*,-99.0,-99.0,5.4298,-99.0
*CCCCCCOC(=O)NCCSCCCCCCSCCNC(=O)O*,-99.0,-99.0,5.4367,-99.0
*CCCOC(=O)NCCSCCSCCNC(=O)O*,-99.0,-99.0,5.2508,-99.0
*Cc1ccc(CSSSS*)cc1,-99.0,-99.0,4.3206,-99.0
*OC(=O)CCSc1ccc(SCCC(*)=O)cc1,-99.0,-99.0,4.6942,-99.0
*OC(=O)CCSCc1ccc(CSCCC(*)=O)cc1,-99.0,-99.0,4.567,-99.0
*Oc1ccc(Sc2ccc(OC(*)=O)cc2)cc1,-99.0,-99.0,4.473,-99.0
*OC(=O)c1ccc(SCCCCSc2ccc(C(*)=O)cc2)cc1,-99.0,-99.0,3.6584,-99.0
*CCC(=O)OC(=O)CCc1ccc(*)s1,-99.0,-99.0,4.6241,-99.0
*CC(=O)NCCCCCCNC(=O)Cc1ccc(*)s1,-99.0,-99.0,4.7548,-99.0
*c1cccc(-c2nc3ccc(-c4ccc5nc(*)sc5c4)cc3s2)c1,-99.0,-99.0,3.3066,-99.0
*CCc1nc(-c2ccc(-c3csc(*)n3)cc2)cs1,-99.0,-99.0,3.7563,-99.0
*CCCCc1nc(-c2ccc(-c3csc(*)n3)cc2)cs1,-99.0,-99.0,3.7312,-99.0
*CCCCCCCCc1nc(-c2ccc(-c3csc(*)n3)cc2)cs1,-99.0,-99.0,3.6182,-99.0
*c1ccc(Sc2ccc(-c3nc4ccc(-c5ccc6nc(*)c(-c7ccccc7)nc6c5)cc4nc3-c3ccccc3)cc2)cc1,-99.0,-99.0,3.3214,-99.0
*C1C=CC(*)S1,-99.0,-99.0,4.903,-99.0
*CCCCCCCCCCOC(=O)CCCCSCCCCC(=O)O*,-99.0,-99.0,5.1162,-99.0
*CCCCCCCCCCCCCCCCCCCCOC(=O)CCCCSCCCCC(=O)O*,-99.0,-99.0,5.0235,-99.0
*c1ccc2nc(*)sc2c1,-99.0,-99.0,2.966,-99.0
*c1ccc(-c2nc3cc4sc(*)nc4cc3s2)cc1,-99.0,-99.0,3.1122,-99.0
*CCCCCCOC(=O)SSC(=O)O*,-99.0,-99.0,5.2035,-99.0
*CCCCCCOC(=O)CCCCSCCCCC(=O)O*,-99.0,-99.0,5.2687,-99.0
*CCCCCOC(=O)CCCCSCCCCC(=O)O*,-99.0,-99.0,5.2896,-99.0
*C(=O)SSCCCCCCSSC(=O)N1CCN(*)CC1,-99.0,-99.0,4.64,-99.0
*C(=O)SSCCCCSSC(=O)N1CCN(*)CC1,-99.0,-99.0,4.2166,-99.0
*CCCCOC(=O)SSSSC(=O)O*,-99.0,-99.0,4.6274,-99.0
*CCCCOC(=O)SSSC(=O)O*,-99.0,-99.0,3.9747,-99.0
*CCCOC(=O)CCCCSCCCCC(=O)O*,-99.0,-99.0,5.3966,-99.0
*CCOC(=O)CCCCSCCCCC(=O)O*,-99.0,-99.0,5.1928,-99.0
*OC(C)CCOC(=O)CCCCSCCCCC(*)=O,-99.0,-99.0,5.3678,-99.0
*C(OC)=C(OC)c1ccc(*)s1,-99.0,-99.0,2.5351,-99.0
*C(=O)C(O)c1ccc(*)s1,-99.0,-99.0,4.0132,-99.0
*CC(F)(F)C(F)(F)C(F)(F)COC(=O)CSCSCC(=O)O*,-99.0,-99.0,5.1865,-99.0
*CCOC(=O)C(=O)O*,-99.0,-99.0,6.5784,-99.0
*CCCCCCCCCCOC(=O)C(=O)O*,-99.0,-99.0,5.4658,-99.0
*CCOC(=O)CCC(=O)O*,-99.0,-99.0,6.5377,-99.0
*CCCOC(=O)CCC(=O)O*,-99.0,-99.0,6.805,-99.0
*CCCOC(=O)CCCC(=O)O*,-99.0,-99.0,6.7627,-99.0
*CCCCCCCCCCOC(=O)CCCC(=O)O*,-99.0,-99.0,6.7292,-99.0
*CCCOC(=O)CCCCC(=O)O*,-99.0,-99.0,6.7235,-99.0
*CCCCCCCCCCOC(=O)CCCCCCC(=O)O*,-99.0,-99.0,6.7689,-99.0
*CCCOC(=O)CCCCCCCC(=O)O*,-99.0,-99.0,6.6032,-99.0
*CCCCCCCCCCOC(=O)CCCCCCCC(=O)O*,-99.0,-99.0,6.6816,-99.0
*CCOC(=O)CCCCCCCCC(=O)O*,-99.0,-99.0,6.8048,-99.0
*CCCOC(=O)CCCCCCCCC(=O)O*,-99.0,-99.0,6.8385,-99.0
*CCCCOC(=O)CCCCCCCCC(=O)O*,-99.0,-99.0,6.818,-99.0
*CCCCCCOC(=O)CCCCCCCCC(=O)O*,-99.0,-99.0,6.8548,-99.0
*CCCCCCCOC(=O)CCCCCCCCC(=O)O*,-99.0,-99.0,6.8159,-99.0
*CCCCCCCCCCOC(=O)CCCCCCCCC(=O)O*,-99.0,-99.0,6.7107,-99.0
*CCOC(=O)c1cccc(C(=O)O*)c1,-99.0,-99.0,4.9772,-99.0
*CCCCOC(=O)c1cccc(C(=O)O*)c1,-99.0,-99.0,5.1711,-99.0
*Oc1ccc(Cc2ccc(OC(=O)c3cccc(C(*)=O)c3)cc2)cc1,-99.0,-99.0,3.7336,-99.0
*CCOC(=O)c1ccc2ccc(C(=O)O*)cc2c1,-99.0,-99.0,3.9507,-99.0
*CCCCCCOC(=O)CCC(=O)O*,-99.0,-99.0,6.7086,-99.0
*CCCCOC(=O)CCCCC(=O)O*,-99.0,-99.0,6.8238,-99.0
*CCCCCOC(=O)CCCCC(=O)O*,-99.0,-99.0,6.8948,-99.0
*OC1CCC(OC(=O)CCCCC(*)=O)CC1,-99.0,-99.0,6.706,-99.0
*CC#CCOC(=O)CCCCCCCCC(=O)O*,-99.0,-99.0,6.1042,-99.0
*CCCCCCOC(=O)C1CCC(C(=O)O*)CC1,-99.0,-99.0,6.5806,-99.0
*Oc1cccc(OC(=O)c2cccc(C(*)=O)c2)c1,-99.0,-99.0,4.1279,-99.0
*c1ccc(OC(=O)c2cccc(C(=O)Oc3ccc(C4(*)OC(=O)c5ccccc54)cc3)c2)cc1,-99.0,-99.0,3.9147,-99.0
*CCCC(=O)O*,-99.0,-99.0,6.7691,-99.0
*CCCCC(=O)O*,-99.0,-99.0,6.623,-99.0
*CCCCCCCCCCC(=O)O*,-99.0,-99.0,6.8465,-99.0
*CCCCCCCCCCCCC(=O)O*,-99.0,-99.0,6.7386,-99.0
*CCCCCCCCCCCCCCC(=O)O*,-99.0,-99.0,6.9774,-99.0
*CCCCCCC(=O)O*,-99.0,-99.0,6.5222,-99.0
*CCCCCCCC(=O)O*,-99.0,-99.0,6.6609,-99.0
*CCCCCCCCC(=O)O*,-99.0,-99.0,6.4657,-99.0
*CCCCCCCCCC(=O)O*,-99.0,-99.0,6.6843,-99.0
*CCCCCCCCCCCCCC(=O)O*,-99.0,-99.0,6.7839,-99.0
*CCCCCCCCCCCCCCCC(=O)O*,-99.0,-99.0,6.7798,-99.0
*CCCCCCCCOC(=O)CCCCC(=O)O*,-99.0,-99.0,6.8225,-99.0
*CCCCCCCCOC(=O)CCCCCCC(=O)O*,-99.0,-99.0,6.7527,-99.0
*CCCCCCCCCCCCOC(=O)CCCCC(=O)O*,-99.0,-99.0,6.8209,-99.0
*CCCCCCCCCCCCCCOC(=O)CCCCC(=O)O*,-99.0,-99.0,6.651,-99.0
*CCCCCCCCCCCCCCOC(=O)CCCCCCC(=O)O*,-99.0,-99.0,6.7022,-99.0
*CCCCCCCCCCCCCCCCOC(=O)CCCCC(=O)O*,-99.0,-99.0,6.7152,-99.0
*CCCCCCCCCCCCCCCCOC(=O)CCCCCCC(=O)O*,-99.0,-99.0,6.8244,-99.0
*OC(C)CCC(C)OC(=O)CCCCC(*)=O,-99.0,-99.0,6.4506,-99.0
*CCOC(=O)C=CC(=O)O*,-99.0,-99.0,4.8762,-99.0
*CCCCOC(=O)CC(=CC(=O)O*)c1ccc(OCC)cc1,-99.0,-99.0,3.9789,-99.0
*CCCCCCCCCCOC(=O)c1cccc(C(=O)O*)c1,-99.0,-99.0,5.173,-99.0
*Oc1ccc(OC(=O)c2ccc(C(*)=O)cc2)cc1CCC(C)CC,-99.0,-99.0,3.5259,-99.0
*Oc1ccc(OC(=O)c2ccc(C(*)=O)cc2)cc1C1CC2CCC1C2,-99.0,-99.0,3.8597,-99.0
*Oc1ccc(-c2ccc(OC(=O)CCCCCCCCC(*)=O)cc2)cc1,-99.0,-99.0,4.5699,-99.0
*CCOC(=O)CSC(=O)Nc1ccc(Cc2ccc(NC(=O)SCC(=O)O*)cc2)cc1,-99.0,-99.0,4.3268,-99.0
*CCCCCOC(=O)c1cccc(C(=O)O*)c1,-99.0,-99.0,5.0521,-99.0
*Oc1ccc(-c2ccc(OC(=O)CCCCCCCCCCCC(*)=O)cc2)cc1,-99.0,-99.0,4.4464,-99.0
*CC1CCC(COC(=O)CCCCC(=O)O*)CC1,-99.0,-99.0,6.7775,-99.0
*CC1CCC(COC(=O)CCC(=O)O*)CC1,-99.0,-99.0,6.5939,-99.0
*CCOC(=O)CCCCCC(=O)O*,-99.0,-99.0,6.8822,-99.0
*CCCCCCOC(=O)C(=O)O*,-99.0,-99.0,5.9794,-99.0
*Oc1ccc(C(*)=O)cc1,-99.0,-99.0,4.5225,-99.0
*OC(C)CC(*)=O,-99.0,-99.0,6.4371,-99.0
*OC(C)C(*)=O,-99.0,-99.0,5.9945,-99.0
*OC(CCl)CC(*)=O,-99.0,-99.0,6.865,-99.0
*CC(CC)(CC)C(=O)O*,-99.0,-99.0,6.089,-99.0
*CC(C)(C)C(=O)O*,-99.0,-99.0,6.6633,-99.0
*OC(CC)CC(*)=O,-99.0,-99.0,6.4081,-99.0
*CC(C)(CC)C(=O)O*,-99.0,-99.0,6.6259,-99.0
*OC(CC(*)=O)C(C)C,-99.0,-99.0,6.7353,-99.0
*CC(C)(CCC)C(=O)O*,-99.0,-99.0,6.7802,-99.0
*OC(CC(*)=O)C(Cl)(Cl)Cl,-99.0,-99.0,5.7388,-99.0
*CCCOC(=O)CCCCCCCCCCCCCCCCC(=O)O*,-99.0,-99.0,6.9154,-99.0
*CCCOC(=O)CCCCCCCCCC(=O)O*,-99.0,-99.0,6.7744,-99.0
*OC(=C)CC(*)=O,-99.0,-99.0,5.0472,-99.0
*OC(c1ccccc1)C(C)(C)C(*)=O,-99.0,-99.0,5.5004,-99.0
*OC(c1ccc(Cl)cc1)C(C)(C)C(*)=O,-99.0,-99.0,4.9195,-99.0
*CC1CCC(COC(=O)CCCCCCCC(=O)O*)CC1,-99.0,-99.0,6.8523,-99.0
*CC1CCC(COC(=O)CCCCCCCCCCC(=O)O*)CC1,-99.0,-99.0,6.723,-99.0
*CC1CCC(COC(=O)CCCC(=O)O*)CC1,-99.0,-99.0,6.7305,-99.0
*CC1CCC(COC(=O)C(=O)O*)CC1,-99.0,-99.0,5.4765,-99.0
*CC1CCC(COC(=O)Cc2ccc(CC(=O)O*)cc2)CC1,-99.0,-99.0,5.3094,-99.0
*CC1CCC(COC(=O)CCCCCC(=O)O*)CC1,-99.0,-99.0,6.6349,-99.0
*CC1CCC(COC(=O)CCCCCCCCC(=O)O*)CC1,-99.0,-99.0,6.7673,-99.0
*CC1CCC(COC(=O)CCCCCCC(=O)O*)CC1,-99.0,-99.0,6.828,-99.0
*OC1CCC(OC(=O)CCCCCCC(*)=O)CC1,-99.0,-99.0,6.6443,-99.0
*CCCCCCCCCCOC(=O)CC(=O)O*,-99.0,-99.0,6.9598,-99.0
*CCCCCCCCCCOC(=O)CCCCCC(=O)O*,-99.0,-99.0,6.771,-99.0
*CCCCCCCCCCOC(=O)C(O)C(O)C(=O)O*,-99.0,-99.0,6.2882,-99.0
*CCCCCCCCCCOC(=O)CCCCS(=O)(=O)CCCCC(=O)O*,-99.0,-99.0,6.4132,-99.0
*CCCCCCCCCCCCOC(=O)CCCCCNC(=O)CCCCC(=O)NCCCCCC(=O)O*,-99.0,-99.0,5.3312,-99.0
*CCCCCCCCCCCCCCCCCCCCOC(=O)CCCCC(=O)O*,-99.0,-99.0,6.8416,-99.0
*CCCCCCCCCCCCCCCCCCCCOC(=O)CCC(C)CC(=O)O*,-99.0,-99.0,6.748,-99.0
*CCCCCCCCCCCCCCCCCCCCOC(=O)CCCCCCCC(=O)O*,-99.0,-99.0,6.5108,-99.0
*CCCCCCCCCCCCCCCCCCCCOC(=O)CCCC(=O)O*,-99.0,-99.0,6.5682,-99.0
*CCCCCCCCCCCCCCCCCCCCOC(=O)CC(=O)O*,-99.0,-99.0,6.2688,-99.0
*CCCCCCCCCCCCCCCCCCCCOC(=O)C(=O)O*,-99.0,-99.0,5.2426,-99.0
*CCCCCCCCCCCCCCCCCCCCOC(=O)c1ccccc1C(=O)O*,-99.0,-99.0,5.216,-99.0
*CCCCCCCCCCCCCCCCCCCCOC(=O)CCCCCC(=O)O*,-99.0,-99.0,6.7391,-99.0
*CCCCCCCCCCCCCCCCCCCCOC(=O)CCCCCCCCC(=O)O*,-99.0,-99.0,6.784,-99.0
*CCCCCCCCCCCCCCCCCCCCOC(=O)CCCCCCC(=O)O*,-99.0,-99.0,6.7452,-99.0
*CCCCCCCCCCCCCCCCCCCCOC(=O)CCC(=O)O*,-99.0,-99.0,6.7992,-99.0
*CCOC(=O)CCCCCNC(=O)CCCCC(=O)NCCCCCC(=O)O*,-99.0,-99.0,5.8201,-99.0
*OC(C)COC(=O)CCCCCCCC(*)=O,-99.0,-99.0,6.6084,-99.0
*OC(=O)c1ccc(CCc2ccc(C(*)=O)cc2)cc1,-99.0,-99.0,4.4852,-99.0
*OC(C)COC(=O)CCCC(*)=O,-99.0,-99.0,6.7519,-99.0
*OC(C)COC(=O)c1cccc(C(*)=O)c1,-99.0,-99.0,5.0391,-99.0
*CCOC(=O)c1ccc(Cc2ccc(C(=O)O*)cc2)cc1,-99.0,-99.0,4.6415,-99.0
*CCOC(=O)Cc1ccc(CC(=O)O*)cc1,-99.0,-99.0,5.1252,-99.0
*CCOC(=O)c1ccc(C(=O)NCCCCCCCCCCCCNC(=O)c2ccc(C(=O)O*)cc2)cc1,-99.0,-99.0,4.4904,-99.0
*CCCCCC(=O)NCCCCCCNC(=O)CCCCCOC(=O)CCCCC(=O)O*,-99.0,-99.0,5.9182,-99.0
*CCCCCCOC(=O)CCCCCNC(=O)CCCCC(=O)NCCCCCC(=O)O*,-99.0,-99.0,5.8108,-99.0
*CCCCCCOC(=O)CCCCCCCC(=O)O*,-99.0,-99.0,6.8043,-99.0
*CCCCCCOC(=O)CCCC(=O)O*,-99.0,-99.0,6.6665,-99.0
*CCCCCCOC(=O)CCCCCC(=O)O*,-99.0,-99.0,6.502,-99.0
*CCCCCCOC(=O)CCCCS(=O)(=O)CCCCC(=O)O*,-99.0,-99.0,6.5053,-99.0
*OC(CC)(CC)C(*)=O,-99.0,-99.0,6.0873,-99.0
*OC(C)(C)C(*)=O,-99.0,-99.0,5.8214,-99.0
*OC(C(*)=O)C(C)C,-99.0,-99.0,6.2703,-99.0
*CCCC(C)CCC(=O)O*,-99.0,-99.0,6.54,-99.0
*CC(CCCC)(CCCC)C(=O)O*,-99.0,-99.0,6.671,-99.0
*OC(CC(*)=O)C(C)(Cl)Cl,-99.0,-99.0,6.4677,-99.0
*Oc1ccc(C=CC(*)=O)cc1,-99.0,-99.0,3.6422,-99.0
*CCCCCOC(=O)c1ccc(C(=O)NCCCCCCNC(=O)c2ccc(C(=O)O*)cc2)cc1,-99.0,-99.0,4.3426,-99.0
*CCCCCOC(=O)C(=O)O*,-99.0,-99.0,5.5658,-99.0
*CCCCCOC(=O)CCCCS(=O)(=O)CCCCC(=O)O*,-99.0,-99.0,6.9262,-99.0
*CCCCCc1ccc(CCCCCOC(=O)c2ccc(C(=O)O*)cc2)cc1,-99.0,-99.0,3.7742,-99.0
*Oc1ccc(OC(=O)CCC(*)=O)cc1,-99.0,-99.0,5.0485,-99.0
*Oc1ccc(OC(=O)c2ccc(C(*)=O)cc2)cc1,-99.0,-99.0,3.7683,-99.0
*CCC(=O)Oc1ccc(OC(=O)CCN2CCN(*)C(C)C2)cc1,-99.0,-99.0,4.6472,-99.0
*OC(C)COC(=O)C(*)=O,-99.0,-99.0,5.4575,-99.0
*CCCCCCCCCCCCCCOC(=O)c1ccc(C(=O)NCCCCCNC(=O)c2ccc(C(=O)O*)cc2)cc1,-99.0,-99.0,4.6624,-99.0
*CCCCOC(=O)CC(=O)O*,-99.0,-99.0,6.6946,-99.0
*CCCCOC(=O)C(=O)O*,-99.0,-99.0,5.0922,-99.0
*CCCCOC(=O)COCC(=O)O*,-99.0,-99.0,6.6832,-99.0
*CCCCOC(=O)Cc1ccc(CC(=O)O*)cc1,-99.0,-99.0,5.4635,-99.0
*CCCCOC(=O)CCCCS(=O)(=O)CCCCC(=O)O*,-99.0,-99.0,6.544,-99.0
*CCCCCCCCCCCCCOC(=O)c1ccc(C(=O)NCCCCCCNC(=O)c2ccc(C(=O)O*)cc2)cc1,-99.0,-99.0,4.6196,-99.0
*CC(CBr)(CBr)COC(=O)CCCCC(=O)O*,-99.0,-99.0,6.0899,-99.0
*CC(CCl)(CCl)COC(=O)CCCCC(=O)O*,-99.0,-99.0,6.8357,-99.0
*CC(CCl)(CBr)COC(=O)CCCCC(=O)O*,-99.0,-99.0,6.6998,-99.0
*CC(C)(C)COC(=O)CCCCCCCC(=O)O*,-99.0,-99.0,6.5848,-99.0
*CCCOC(=O)C1CCC(C(=O)O*)CC1,-99.0,-99.0,6.703,-99.0
*CCCOC(=O)c1cccc(C(=O)O*)c1,-99.0,-99.0,5.151,-99.0
*OC(C)CCOC(=O)c1cccc(C(*)=O)c1,-99.0,-99.0,5.0532,-99.0
*CCCOC(=O)CC(=O)O*,-99.0,-99.0,6.6256,-99.0
*CC(C)(C)COC(=O)CCC(=O)O*,-99.0,-99.0,6.4486,-99.0
*CCCOC(=O)C(=O)O*,-99.0,-99.0,5.7163,-99.0
*CC(CCl)(CCl)COC(=O)C(=O)O*,-99.0,-99.0,5.906,-99.0
*CC(C)(C)COC(=O)C(=O)O*,-99.0,-99.0,4.957,-99.0
*CCCOC(=O)Cc1ccc(CC(=O)O*)cc1,-99.0,-99.0,5.2766,-99.0
*CC(C)(C)COC(=O)CCCCCCCCC(=O)O*,-99.0,-99.0,6.6996,-99.0
